Brand,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Selling_Price
Hyundai,6.18,73056,Petrol,Dealer,Automatic,1,7,2.42
Maruti,8.7,43443,Petrol,Dealer,Manual,0,7,3.62
Hyundai,4.65,85280,Diesel,Dealer,Manual,3,7,1.43
Maruti,9.31,105812,Diesel,Individual,Manual,0,13,1.77
Maruti,11.74,223265,Diesel,Individual,Automatic,0,15,1.22
Hyundai,12.21,57698,CNG,Individual,Manual,0,8,3.84
Hyundai,15.42,235737,Diesel,Individual,Automatic,0,23,0.57
Maruti,9.16,73207,Diesel,Dealer,Manual,0,6,5.55
Hyundai,13.95,238538,Petrol,Dealer,Manual,1,20,0.45
Maruti,9.92,140883,Petrol,Dealer,Manual,0,10,2.41
Renault,6.75,209069,Diesel,Dealer,Manual,0,14,0.89
Maruti,4.9,101996,Petrol,Dealer,Manual,0,12,0.82
Toyota,34.17,98147,CNG,Dealer,Manual,0,11,6.9
Toyota,15.68,239707,Diesel,Individual,Manual,0,20,0.65
Hyundai,9.15,44106,Diesel,Individual,Manual,0,5,5.56
Maruti,5.37,176192,Diesel,Individual,Manual,0,12,0.71
Mahindra,6.93,152369,CNG,Individual,Manual,1,11,0.89
Hyundai,12.86,19959,Petrol,Dealer,Automatic,1,3,11.71
Maruti,9.19,20963,Diesel,Dealer,Automatic,3,4,4.97
Honda,19.24,202017,Petrol,Dealer,Automatic,1,14,1.65
Maruti,5.63,55877,Diesel,Individual,Manual,3,6,1.75
Tata,16.73,225638,Petrol,Dealer,Manual,0,15,1.39
Skoda,8.58,5481,Petrol,Dealer,Manual,0,2,8.35
Audi,46.53,234727,Petrol,Dealer,Automatic,1,18,1.65
Hyundai,7.59,78715,Diesel,Dealer,Manual,1,10,1.84
Maruti,6.69,124269,Petrol,Individual,Manual,0,11,0.93
Maruti,6.08,323797,Petrol,Dealer,Automatic,0,20,0.18
Maruti,9.67,38870,CNG,Dealer,Manual,1,6,4.33
Maruti,7.14,167285,Diesel,Dealer,Automatic,0,18,0.89
Toyota,23.55,39532,Petrol,Dealer,Manual,1,7,10.04
Maruti,4.97,66377,Petrol,Dealer,Manual,1,9,1.06
Toyota,25.68,89223,Diesel,Individual,Automatic,1,8,9.0
Ford,18.41,67273,CNG,Dealer,Automatic,3,9,2.9
Hyundai,8.77,69015,Petrol,Dealer,Manual,0,6,4.22
Skoda,22.76,207669,Diesel,Individual,Manual,0,15,2.16
Chevrolet,11.88,44636,Petrol,Dealer,Manual,0,6,6.05
Maruti,6.52,9842,CNG,Individual,Manual,0,3,5.06
Toyota,28.85,45361,Diesel,Dealer,Manual,0,5,19.43
Hyundai,13.63,4431,Diesel,Individual,Automatic,0,2,13.38
Maruti,8.44,173659,Diesel,Individual,Manual,3,14,0.29
Toyota,18.01,65046,CNG,Dealer,Manual,0,7,7.24
Tata,10.6,176460,Petrol,Dealer,Manual,0,13,1.37
Hyundai,16.87,500,Petrol,Individual,Manual,0,2,18.93
Tata,21.06,88192,Diesel,Dealer,Manual,0,12,5.19
Ford,11.13,123018,Petrol,Dealer,Manual,0,11,2.13
Maruti,9.67,500,Diesel,Dealer,Automatic,1,2,9.45
Mahindra,15.1,169644,Petrol,Individual,Automatic,1,16,0.57
Maruti,8.04,39958,Diesel,Individual,Manual,1,5,4.36
Maruti,8.65,1211,Petrol,Individual,Manual,0,2,10.07
Mahindra,18.88,134988,CNG,Dealer,Automatic,0,12,3.36
Volkswagen,7.05,147149,Petrol,Dealer,Manual,0,14,0.85
Toyota,14.29,17061,Petrol,Individual,Automatic,0,3,11.54
Hyundai,10.44,94775,Diesel,Dealer,Manual,0,8,4.33
Toyota,11.17,114996,Petrol,Dealer,Manual,0,15,1.08
Maruti,6.31,181736,Petrol,Dealer,Manual,1,16,0.27
Maruti,9.86,25232,Petrol,Dealer,Manual,0,4,5.87
Tata,5.53,227561,Diesel,Individual,Automatic,0,16,0.44
Maruti,3.67,160583,Petrol,Dealer,Manual,0,11,0.71
Mahindra,14.93,86071,Diesel,Individual,Manual,0,9,4.7
Ford,29.66,92226,Diesel,Dealer,Manual,0,11,8.31
Hyundai,5.12,9094,Petrol,Dealer,Automatic,0,3,4.67
Maruti,9.61,30811,Petrol,Dealer,Automatic,0,4,7.47
Tata,14.6,199145,Petrol,Individual,Manual,0,17,0.6
Maruti,5.21,66951,Diesel,Dealer,Manual,0,8,2.22
Mahindra,19.12,500,CNG,Dealer,Automatic,3,2,18.88
Ford,24.78,194087,Petrol,Dealer,Manual,1,16,1.12
Renault,7.07,40245,Diesel,Individual,Manual,0,6,4.18
Hyundai,16.69,69786,Diesel,Dealer,Automatic,1,8,6.27
