Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Hyundai Xcent,2019,2.42,6.18,73056,Petrol,Dealer,Automatic,1
Maruti Dzire,2019,3.62,8.7,43443,Petrol,Dealer,Manual,0
Hyundai Verna,2019,1.43,4.65,85280,Diesel,Dealer,Manual,3
Maruti Baleno,2013,1.77,9.31,105812,Diesel,Individual,Manual,0
Maruti Baleno,2011,1.22,11.74,223265,Diesel,Individual,Automatic,0
Hyundai Grand i10,2018,3.84,12.21,57698,CNG,Individual,Manual,0
Hyundai Xcent,2003,0.57,15.42,235737,Diesel,Individual,Automatic,0
Maruti Ciaz,2020,5.55,9.16,73207,Diesel,Dealer,Manual,0
Hyundai Santro,2006,0.45,13.95,238538,Petrol,Dealer,Manual,1
Maruti Ciaz,2016,2.41,9.92,140883,Petrol,Dealer,Manual,0
Renault Captur,2012,0.89,6.75,209069,Diesel,Dealer,Manual,0
Maruti S-Cross,2014,0.82,4.9,101996,Petrol,Dealer,Manual,0
Toyota Etios,2015,6.9,34.17,98147,CNG,Dealer,Manual,0
Toyota Yaris,2006,0.65,15.68,239707,Diesel,Individual,Manual,0
Hyundai i20,2021,5.56,9.15,44106,Diesel,Individual,Manual,0
Maruti Baleno,2014,0.71,5.37,176192,Diesel,Individual,Manual,0
Mahindra Bolero,2015,0.89,6.93,152369,CNG,Individual,Manual,1
Hyundai Venue,2023,11.71,12.86,19959,Petrol,Dealer,Automatic,1
Maruti Ertiga,2022,4.97,9.19,20963,Diesel,Dealer,Automatic,3
Honda CR-V,2012,1.65,19.24,202017,Petrol,Dealer,Automatic,1
Maruti Wagon R,2020,1.75,5.63,55877,Diesel,Individual,Manual,3
Tata Nexon,2011,1.39,16.73,225638,Petrol,Dealer,Manual,0
Skoda Octavia,2024,8.35,8.58,5481,Petrol,Dealer,Manual,0
Audi A3,2008,1.65,46.53,234727,Petrol,Dealer,Automatic,1
Hyundai Santro,2016,1.84,7.59,78715,Diesel,Dealer,Manual,1
Maruti Wagon R,2015,0.93,6.69,124269,Petrol,Individual,Manual,0
Maruti Baleno,2006,0.18,6.08,323797,Petrol,Dealer,Automatic,0
Maruti Wagon R,2020,4.33,9.67,38870,CNG,Dealer,Manual,1
Maruti Dzire,2008,0.89,7.14,167285,Diesel,Dealer,Automatic,0
Toyota Etios Cross,2019,10.04,23.55,39532,Petrol,Dealer,Manual,1
Maruti Dzire,2017,1.06,4.97,66377,Petrol,Dealer,Manual,1
Toyota Fortuner,2018,9.0,25.68,89223,Diesel,Individual,Automatic,1
Ford EcoSport,2017,2.9,18.41,67273,CNG,Dealer,Automatic,3
Hyundai i10,2020,4.22,8.77,69015,Petrol,Dealer,Manual,0
Skoda Kodiaq,2011,2.16,22.76,207669,Diesel,Individual,Manual,0
Chevrolet Beat,2020,6.05,11.88,44636,Petrol,Dealer,Manual,0
Maruti S-Cross,2023,5.06,6.52,9842,CNG,Individual,Manual,0
Toyota Camry,2021,19.43,28.85,45361,Diesel,Dealer,Manual,0
Hyundai Grand i10,2024,13.38,13.63,4431,Diesel,Individual,Automatic,0
Maruti Dzire,2012,0.29,8.44,173659,Diesel,Individual,Manual,3
Toyota Etios,2019,7.24,18.01,65046,CNG,Dealer,Manual,0
Tata Hexa,2013,1.37,10.6,176460,Petrol,Dealer,Manual,0
